,player,all_nba,all_star,draft_yr,pk,team,college,yrs,games,minutes_played,pts,trb,ast,fg_percentage,tp_percentage,ft_percentage,minutes_per_game,points_per_game,trb_per_game,assists_per_game,win_share,ws_per_game,bpm,vorp,attend_college
0,Robert Parish,2,9,1976,8,GSW,Centenary College of Louisiana,21,1611,45704,23334,14715,2180,0.537,0.0,0.721,28.4,14.5,9.1,1.4,147.0,0.154,1.6,41.5,1
1,Sonny Parker,0,0,1976,17,GSW,Texas A&M University,6,452,10916,4471,1841,954,0.501,0.0,0.755,24.2,9.9,4.1,2.1,26.9,0.11800000000000001,2.2,11.5,1
2,Marshall Rogers,0,0,1976,34,GSW,University of Texas-Pan American,1,26,176,100,11,10,0.371,0.0,0.9329999999999999,6.8,3.8,0.4,0.4,-0.2,-0.043,-9.9,-0.4,1
3,Jeff Fosnes,0,0,1976,68,GSW,Vanderbilt University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,Carl Bird,0,0,1976,86,GSW,University of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,Duane Barnett,0,0,1976,91,GSW,Stanford University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,Gene Cunningham,0,0,1976,104,GSW,Norfolk State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,Jesse Campbell,0,0,1976,122,GSW,Mercyhurst College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,Stan Boskovich,0,0,1976,140,GSW,West Virginia University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,Howard Smith,0,0,1976,157,GSW,University of San Francisco,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,Ken Smith,0,0,1976,173,GSW,San Diego State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,Rickey Green,0,0,1977,16,GSW,University of Michigan,14,946,23271,8870,1819,5221,0.469,0.207,0.807,24.6,9.4,1.9,5.5,47.2,0.09699999999999999,-1.0,5.8,1
12,Wesley Cox,0,0,1977,18,GSW,University of Louisville,2,74,813,342,206,23,0.41200000000000003,0.0,0.51,11.0,4.6,2.8,0.3,0.1,0.006999999999999999,-6.9,-1.0,1
13,Ricky Love,0,0,1977,38,GSW,University of Alabama at Huntsville,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,Marlon Redmond,0,0,1977,60,GSW,University of San Francisco,2,77,1057,499,161,77,0.423,0.0,0.655,13.7,6.5,2.1,1.0,0.6,0.026000000000000002,-3.8,-0.5,1
15,Roy Smith,0,0,1977,82,GSW,Kentucky State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,Leartha Scott,0,0,1977,87,GSW,University of Wisconsin-Parkside,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,Ray Epps,0,0,1977,104,GSW,Norfolk State University,1,13,72,26,5,2,0.435,0.0,0.75,5.5,2.0,0.4,0.2,0.1,0.057,-6.9,-0.1,1
18,Jack Phelan,0,0,1977,126,GSW,Saint Francis University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,Jerry Thurston,0,0,1977,146,GSW,Mercer University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,Ricky Marsh,0,0,1977,165,GSW,Manhattan College,1,60,851,269,75,90,0.426,0.0,0.6970000000000001,14.2,4.5,1.3,1.5,0.5,0.027999999999999997,-4.3,-0.5,1
21,Purvis Short,0,0,1978,5,GSW,Jackson State University,12,842,24549,14607,3625,2123,0.474,0.282,0.8240000000000001,29.2,17.3,4.3,2.5,51.1,0.1,-0.1,11.6,1
22,Raymond Townsend,0,0,1978,22,GSW,"University of California, Los Angeles",3,154,2025,745,157,217,0.41100000000000003,0.171,0.703,13.1,4.8,1.0,1.4,1.0,0.023,-4.6,-1.3,1
23,Wayne Cooper,0,0,1978,40,GSW,University of New Orleans,14,984,20274,7777,6095,852,0.457,0.146,0.736,20.6,7.9,6.2,0.9,36.9,0.087,-1.7,1.4,1
24,Steve Neff,0,0,1978,56,GSW,Southern Nazarene University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,Derrick Jackson,0,0,1978,77,GSW,Georgetown University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26,Bubba Wilson,0,0,1978,101,GSW,Western Carolina University,1,16,143,17,16,12,0.28,0.0,0.5,8.9,1.1,1.0,0.8,-0.2,-0.064,-7.5,-0.2,1
27,Buzz Hartnett,0,0,1978,122,GSW,University of San Diego,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28,Rick Bernard,0,0,1978,142,GSW,Saint Mary's College of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29,Tony Searcy,0,0,1978,163,GSW,Appalachian State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30,Bobby Humbles,0,0,1978,179,GSW,Bradley University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31,Mike Muff,0,0,1978,193,GSW,Murray State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
32,Danny Salisbury,0,0,1979,28,GSW,University of Texas-Pan American,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
33,Cheese Johnson,0,0,1979,54,GSW,Wichita State University,1,9,53,27,14,2,0.4,0.0,0.6,5.9,3.0,1.6,0.2,0.0,-0.033,-9.7,-0.1,1
34,Ron Ripley,0,0,1979,75,GSW,University of Wisconsin-Green Bay,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
35,Jerry Sichting,0,0,1979,82,GSW,Purdue University,10,598,12732,4141,817,1962,0.507,0.271,0.857,21.3,6.9,1.4,3.3,21.2,0.08,-2.7,-2.2,1
36,George Lett,0,0,1979,96,GSW,Centenary College of Louisiana,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
37,Jim Mitchem,0,0,1979,118,GSW,DePaul University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
38,Ren Watson,0,0,1979,137,GSW,Virginia Commonwealth University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39,Mario Butler,0,0,1979,155,GSW,Briar Cliff University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40,Gene Ransom,0,0,1979,175,GSW,University of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
41,Kevin Heenan,0,0,1979,192,GSW,"California State University, Fullerton",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
42,Joe Barry Carroll,0,0,1980,1,GSW,Purdue University,10,705,22838,12455,5404,1264,0.474,0.0,0.747,32.4,17.7,7.7,1.8,35.6,0.075,-0.7,7.5,1
43,Rickey Brown,0,0,1980,13,GSW,Mississippi State University,5,340,4487,1482,1200,119,0.46399999999999997,0.0,0.667,13.2,4.4,3.5,0.4,4.7,0.051,-4.4,-2.7,1
44,Larry Smith,0,0,1980,24,GSW,Alcorn State University,13,883,22879,5904,8125,941,0.531,0.0,0.531,25.9,6.7,9.2,1.1,46.0,0.096,0.6,15.0,1
45,Jeff Ruland,0,0,1980,25,GSW,Iona College,8,332,11088,5763,3378,1002,0.564,0.158,0.718,33.4,17.4,10.2,3.0,34.3,0.149,3.5,15.4,1
46,John Virgil,0,0,1980,49,GSW,University of North Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
47,Robert Scott,0,0,1980,71,GSW,University of Alabama,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48,Don Carlino,0,0,1980,95,GSW,University of Southern California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
49,Neil Bresnahan,0,0,1980,117,GSW,University of Illinois at Urbana-Champaign,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50,Lorenzo Romar,0,0,1980,141,GSW,University of Washington,5,291,5188,1731,385,1022,0.46399999999999997,0.21100000000000002,0.7490000000000001,17.8,5.9,1.3,3.5,8.0,0.07400000000000001,-2.8,-1.0,1
51,Kurt Kanaskie,0,0,1980,162,GSW,La Salle University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
52,Tim Higgins,0,0,1980,200,GSW,University of Nebraska at Kearney,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,Sam Williams,0,0,1981,33,GSW,Arizona State University,4,257,4528,1628,1146,156,0.5,0.0,0.653,17.6,6.3,4.5,0.6,9.0,0.095,-0.1,2.1,1
54,Carlton Neverson,0,0,1981,56,GSW,University of Pittsburgh,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
